"year","driver","constructor","races","wins","podiums","points","avg_grid","avg_finish","dnfs","finish_rate","avg_performance_index"
2012,"Petrov","Caterham",20,0,0,0,18.95,17.55,3,0.85,1.67058823529412
2012,"Pic","Marussia",20,0,0,0,21.35,19.6,5,0.75,1.58666666666667
2012,"Räikkönen","Lotus F1",20,1,7,207,7.45,5.45,0,1,9.045
2012,"Ricciardo","Toro Rosso",20,0,0,10,14.7,12.7,1,0.95,2.88421052631579
2012,"Rosberg","Mercedes",20,1,2,93,9.4,11.2,3,0.85,5.86470588235294
2012,"Schumacher","Mercedes",20,0,1,49,9.65,15.25,7,0.65,4.88461538461539
2012,"Senna","Williams",20,0,0,31,14.25,13.4,5,0.75,3.38888888888889
2012,"Vergne","Toro Rosso",20,0,0,16,16.95,14.8,4,0.8,3.40625
2012,"Vettel","Red Bull",20,5,10,281,5.05,5.45,2,0.9,11.5631578947368
2012,"Webber","Red Bull",20,2,4,179,5.85,8.05,3,0.85,8.62222222222222
2013,"Alonso","Ferrari",19,2,9,242,6,5.15789473684211,1,0.947368421052632,10.8888888888889
2013,"Bianchi","Marussia",19,0,0,0,19.6315789473684,18.3157894736842,3,0.842105263157895,1.6
2013,"Bottas","Williams",19,0,0,4,14.8947368421053,14.8947368421053,2,0.894736842105263,2.25294117647059
2013,"Button","McLaren",19,0,0,73,10.4736842105263,9.10526315789474,1,0.947368421052632,5.00526315789474
2013,"Chilton","Marussia",19,0,0,0,20.5789473684211,18.1578947368421,0,1,1.31578947368421
2013,"di Resta","Force India",19,0,0,48,12.8947368421053,13.3157894736842,6,0.684210526315789,4.8
2013,"Grosjean","Lotus F1",19,0,6,132,8.10526315789474,10.3684210526316,5,0.736842105263158,7.45
2013,"Gutiérrez","Sauber",19,0,0,6,16.3157894736842,14.5263157894737,3,0.842105263157895,2.75294117647059
2013,"Hamilton","Mercedes",19,1,5,189,3.47368421052632,6.21052631578947,1,0.947368421052632,8.90555555555556
2013,"Hülkenberg","Sauber",19,0,0,51,9.63157894736842,11.6315789473684,3,0.842105263157895,4.20588235294118
2013,"Kovalainen","Lotus F1",2,0,0,0,9.5,14.5,0,1,1.4
2013,"Maldonado","Williams",19,0,0,1,16.0526315789474,15.4210526315789,3,0.842105263157895,2.25625
2013,"Massa","Ferrari",19,0,1,112,7.94736842105263,9.10526315789474,2,0.894736842105263,6.6
2013,"Pérez","McLaren",19,0,0,49,11,10.1578947368421,2,0.894736842105263,4.14210526315789
2013,"Pic","Caterham",19,0,0,0,19.8421052631579,18.5263157894737,4,0.789473684210526,1.73333333333333
2013,"Räikkönen","Lotus F1",17,1,8,183,8.35294117647059,7.05882352941176,2,0.882352941176471,10.26
2013,"Ricciardo","Toro Rosso",19,0,0,20,10.5263157894737,14.2105263157895,4,0.789473684210526,2.7625
2013,"Rosberg","Mercedes",19,2,4,171,4.26315789473684,8,3,0.842105263157895,8.41176470588235
2013,"Sutil","Force India",19,0,0,29,12.6842105263158,14.1578947368421,5,0.736842105263158,3.71333333333333
2013,"van der Garde","Caterham",19,0,0,0,19.3684210526316,18.5789473684211,4,0.789473684210526,1.45
2013,"Vergne","Toro Rosso",19,0,0,13,13.3684210526316,15.4210526315789,5,0.736842105263158,2.64
